S_0,S_1,S_2,I_0,I_1,I_2,R_0,R_1,R_2
-1.0,349998.0,249999.0,1.0,2.0,1.0,0.0,0.0,0.0
0.0,349996.99200576,249997.56000576,0.9419985599999999,2.83439424,2.30999424,0.13,0.26,0.13
0.0,349995.2167354493,249995.0239082725,0.9463448226798397,4.393360546269435,4.54579247630537,0.2524598128,0.6284712512,0.4302992512
0.0,349992.09015976725,249990.55739944603,1.0466497046976289,7.216794794949187,8.42134828085602,0.3754846397483792,1.1996081222150266,1.021252273119698
0.0,349986.583733382,249982.69119538006,1.3039096382847677,12.257026334151492,15.192777070314087,0.511549101359071,2.137791445558421,2.1160275496309806
0.0,349976.88612922083,249968.8379032881,1.8271116904924507,21.19246672669785,27.07100814311309,0.6810573543360907,3.7312048689981148,4.091088568771812
0.0,349959.8076964445,249944.4415721959,2.8095484327764852,36.97982351144938,47.9481081767088,0.9185818741001093,6.486225543468835,7.610319627376514
0.0,349929.73224820563,249901.48126104148,4.592776716327505,64.82603005521287,84.67516526816763,1.2838231703610523,11.293602599957255,13.84357369034866
0.0,349876.7729869423,249825.83980153376,7.7792059226677575,113.89800706348508,149.30885329102216,1.880884143483628,19.720986507134928,24.851345175210454
0.0,349783.53103594773,249692.68292739725,13.43016342750945,200.32764532733387,263.0555764996797,2.892180913430437,34.52772742538799,44.261496103043335
0.0,349619.40613805765,249458.36208348567,23.41398530979571,352.4847783730789,463.1791954663126,4.638102159006666,60.57032131794139,78.4587210480017
0.0,349330.6372540794,249046.28076561142,41.01673543791764,620.2038419869664,815.0472179299561,7.6819202492801075,106.39334250644166,138.67201645862235
0.0,348822.94936123054,248322.39475035892,72.01053403667603,1090.8480870244011,1432.9770948515493,13.014095856209401,187.0198419647473,244.62815478951666
0.0,347931.5683029002,247053.2702306274,126.51261368420336,1917.029273244786,2515.8145922523872,22.375465280977288,328.83009327791945,430.91517712021806
0.0,346370.18174235575,244835.90514496877,222.1902435073955,3363.6715459625884,4406.123780918188,38.82210505992373,578.0438987997417,757.9710741130284
0.0,343646.4343172287,240985.27826442907,389.6932738958351,5885.561810819383,7683.954569938518,67.70683671588515,1015.3211997748781,1330.7671656323928
0.0,338929.2260861263,234369.3054232613,681.5797327604653,10247.95210760687,13301.013317014278,118.36696232234371,1780.444235181398,2329.6812597244
0.0,330862.001496134,223212.34592653444,1186.125004959742,17692.44699747071,22728.84108252928,206.97232758120418,3112.6780091702913,4058.8129909362565
0.0,317364.2735114705,205000.16372059344,2046.140670415839,30100.42385301401,37986.27394774148,361.1685782259707,5412.696118841483,7013.5623316650635
0.0,295611.66065268725,176898.13983453,3477.185860011414,49956.781464854146,61150.08222059853,627.1668653800298,9325.751219733305,11951.777944871457
0.0,262693.19013653626,137500.39627023536,5763.386555187515,79612.58405694485,92598.31509621537,1079.2010271815136,15820.132810164345,19901.288633549266
0.0,217688.01991650162,90386.66076572693,9179.989252933601,119129.35415229789,127674.2696382158,1828.4412793558906,26169.768737567174,31939.069596057263
0.0,164876.15561911554,46530.42959155019,13784.632798433924,163102.3607347235,154932.8457594245,3021.8398822372587,41656.584777365904,48536.72464902532
0.0,114240.93461595173,17950.44994691155,19154.282492818318,200541.5642414854,163371.55545533795,4813.8421460336685,62859.89167287996,68677.9945977505
0.0,74988.71339035803,5615.203657413236,24430.524650761825,222131.59055985638,154468.49953564233,7303.89887010005,88930.29502427306,89916.29680694443
0.0,48915.01286941254,1710.3723325878755,28843.72165718145,227252.26360623224,138292.42592083418,10479.867074699087,117807.4017970544,109997.20174657794
0.0,32690.600393090528,575.760090490433,32081.907248957497,220967.29937505946,121449.02279322318,14229.550890132676,147350.19606586458,127975.21711628638
0.0,22650.008371841497,222.08214629741508,34167.38052863802,208363.01778229018,106014.32777429718,18400.19883249715,176075.9449846223,143763.5900794054
0.0,16308.363157181808,97.72314764210007,35253.44553858402,192820.19531028613,92356.82416229387,22841.958301220093,203163.13729632003,157545.45269006403
0.0,12183.93306289906,48.29423964459583,35523.84315931837,176314.33450131398,80399.86592919317,27424.906221236015,228229.76268665722,169551.83983116224
0.0,9416.710481981729,26.357003157355987,35154.08609160509,159943.25008120498,69969.8205948853,32043.005831947405,251150.62617182804,180003.82240195735
0.0,7503.476375684106,15.646868768720665,34298.161565318325,144293.9037779356,60884.45405193885,36613.037023856064,271943.24868238467,189099.89907929243
0.0,6143.4291782948885,9.974703241345303,33085.50370512656,129660.23127181017,52975.14719071417,41071.798027347446,290701.4561735163,197014.8781060445
0.0,5152.014264738516,6.75530597484551,31622.120373638336,116167.90901260858,46091.597453187824,45372.9135090139,307557.2862388516,203901.64724083734
0.0,4412.886797802353,4.817022446502171,29993.25379820181,103845.91725281347,40101.62806780175,49483.789157586885,322659.1144104907,209893.55490975175
0.0,3850.7321838844064,3.5897480940324593,28266.42376429303,92668.16639416156,34889.64369334,53382.91215135312,336159.0836533565,215106.76655856599
0.0,3415.5546783994782,2.7783815557838905,26494.358205125827,82578.11640745885,30354.801379744044,57057.54724071122,348205.94528459746,219642.42023870017
0.0,3073.376435764463,2.221692052822593,24717.61753176267,73503.54673089003,26409.233889880277,60501.81380737758,358941.1004175671,223588.5444180669
0.0,2800.5966761801374,1.8273162666435652,22966.85804319267,65365.49435316592,22976.42785998202,63715.104086506726,368496.56149258284,227021.74482375133
0.0,2580.4889933886507,1.5400872253474844,21264.742075839065,58083.663956087184,19989.779467225653,66700.79563212178,376994.07575849444,230008.680445549
0.0,2400.9768117808244,1.3258143349016913,19627.52821789352,51579.6631331175,17391.322409376764,69465.21210198085,384544.95207278576,232607.35177628833
0.0,2253.190239706466,1.1625994676853453,18066.383109761795,45778.87648566301,15130.613711025002,72016.79077030701,391250.30828009103,234868.22368950731
0.0,2130.510995549038,1.0359995726209617,16588.456439644066,40611.479188405516,13163.760528486815,74365.42057457604,397201.5622232272,236835.20347194056
0.0,2027.928454444549,0.9362343341738019,15197.75732906402,36012.90421166482,11452.571425021975,76521.91991172977,402481.05451771995,238546.49234064386
0.0,1941.5978519598013,0.856521784198,13895.865643628382,31923.963821837006,9963.816852319094,78497.6283645081,407162.73206523637,240035.3266258967
0.0,1868.5322251946918,0.7920570435337807,12682.506939179228,28290.755256657016,8668.585126258276,80304.09089817978,411312.8473620752,241330.6228166982
0.0,1806.3843303859048,0.7393689740850804,11556.0152494481,25064.435540841623,7541.721747914149,81952.81680027308,414990.6455454406,242457.53888311176
0.0,1753.2900570904033,0.6959050691829588,10513.703927411156,22200.92135381922,6561.341384590211,83455.09878270133,418249.02216575004,243437.9627103406
0.0,1707.7544985822342,0.6597576834543257,9552.161311578968,19660.55078648077,5708.403151979212,84821.88029326478,421135.1419417465,244290.93709033733
0.0,1668.5680220377478,0.6294798197342288,8667.485074795559,17407.73114244373,4966.341020085635,86063.66126377005,423691.01354398904,245033.02950009462
0.0,1634.743712687695,0.6039588701881584,7855.466672572953,15410.588425618074,4320.742208424049,87190.43432349346,425954.0185925067,245678.65383270575
0.0,1605.4702328586159,0.5823285954645705,7111.735277874417,13640.628401299515,3759.067351603646,88211.64499092795,427957.39508783707,246240.35031980087
0.0,1580.0759263148132,0.5639067891180037,6431.8689081280745,12072.41521473724,3270.4070177015183,89136.17057705163,429730.676780006,246729.02907550934
0.0,1558.0012152360302,0.5481504836926353,5811.479062159201,10683.27090417086,2845.2698617057463,89972.31353510827,431300.0907579218,247154.18198781053
0.0,1538.7771751871346,0.5346233224192312,5246.274040745512,9452.997358843462,2475.3983068452726,90727.80581318897,432688.91597546404,247524.06706983226
