S_0,S_1,S_2,I_0,I_1,I_2,R_0,R_1,R_2
149999.0,299998.0,149999.0,1.0,2.0,1.0,0.0,0.0,0.0
149998.78400144,299997.13600576,149998.13600576,1.1147985599999999,2.7191942399999998,1.8491942399999999,0.13,0.26,0.13
149998.4492050181,299995.7968220008,149996.7968258577,1.3493110410419313,3.883442184312411,3.1265382246017825,0.2749238128,0.6134952512,0.3703952512
149997.93027402382,299993.72110564564,149994.7211247466,1.7620230637792498,5.731076707331846,5.072554611801783,0.4503342481354511,1.1183427351606134,0.7768452203982317
149997.12593964412,299990.5037910715,149991.50385606146,2.4445403560009353,8.632334340887606,8.059373004999262,0.6793972464267536,1.8633827071137534,1.4362773199324634
149995.8792427064,299985.5170656249,149986.51725522178,3.539676075450028,13.161770773751929,12.663166481683906,0.9971874927068751,2.9855861714291425,2.4839958105823676
149993.94691458702,299977.78791395813,149978.78842516907,5.269496060265517,20.21048697257092,19.776371047659797,1.4573453825153788,4.696616372016893,4.130207453201275
149990.9519325504,299965.80838938843,149966.80970772222,7.978787971847423,31.16001492461106,30.781505422341446,2.142379870349896,7.3239796784511135,6.701135689397049
149986.3100164215,299947.2417211176,149948.24503181846,12.202414508775329,48.151666064736716,47.82031729531866,3.179622306690061,11.374781618650552,10.702731394301438
149979.11578469453,299918.46722879796,149919.47540819895,18.769634568054897,74.50358574186544,74.21031375913353,4.7659361928308535,17.634498207066326,16.919372642692863
149967.96650373779,299873.8760170449,149874.89601876948,28.965601406666256,115.35612717557926,115.0888428850725,7.2059886866779905,27.319964353508833,26.566713431380222
149950.6893967117,299804.781887531,149805.8304795238,44.78119123115532,178.66962270971112,178.40773240154653,10.971516869544605,42.316260886334135,41.528263006439644
149923.92016686124,299697.73945713055,149698.85700110413,69.29904058441885,276.76477961870506,276.4661432277271,16.793071729594796,65.54331183859658,64.72126821864069
149882.45257370576,299531.952117584,149533.23563018336,107.2890227555972,428.69553971067984,428.2653274035411,25.801947005569247,101.52273318902823,100.66186683824522
149818.23714168055,299275.29000163527,149276.9723741923,166.1243224494092,663.8916710893147,663.1078745390241,39.749519963796885,157.25315335141661,156.33635940070556
149718.84558584698,298878.20300791133,148880.84248193185,257.1848025713049,1027.7202983595507,1026.055713070387,61.34568188222008,243.5590705930275,242.5403830907787
149565.129887843,298264.48906410194,148269.42118671729,397.99271587576817,1589.904871835669,1586.1026808470588,94.77970621648971,377.1627093797691,375.92762578992904
149327.6871512861,297317.4670335761,147327.87827118125,615.4290969441914,2457.0965542829413,2448.1626231990413,146.51875928033957,583.8503427184061,582.1209743000467
148961.60082425582,295859.6816550615,145883.14359794356,950.4969648214167,3791.233001456156,3770.0588006699622,226.52454188308445,903.2728947751884,900.382115315922
148398.80725624858,293624.09980112343,143678.49234706283,1465.1834154168891,5835.365988795987,5785.178140738461,350.0891473098686,1396.1331849644887,1390.4897594030172
147537.4619250576,290215.5582883587,140342.70277128808,2251.891597056475,8947.664313129324,8829.269181205193,540.5629913140642,2154.730763507967,2142.562917699017
146228.1720691879,285064.6456791188,135360.93679304124,3445.3357407438743,13640.645203763317,13363.840718525707,833.308898931406,3317.927124214779,3290.367911255692
144258.60752904546,277385.50683968636,128068.16694013246,5235.02372462528,20613.12924116484,19975.12695193012,1281.2025452281098,5091.21100070401,5027.667204664034
141342.0033894623,266169.2095058013,117711.09633632227,7872.299407708743,30742.162614968096,29303.19129009752,1961.7556294293963,7770.917802055439,7624.43370841495
137122.7887774297,250278.32086563407,103655.87239013004,11658.115815996358,44968.749698283784,41826.31180165486,2985.154552431533,11767.398942001291,11433.848576127628
131223.1989918978,228742.30284144398,85817.05416259801,16887.436670713174,63980.04469909104,57431.59545543349,4500.70960851106,17613.336402778183,16871.26911034276
123358.75315952903,201324.4153933731,65244.36338413649,23723.851703441458,87627.29779565649,74847.520684969,6696.076375703773,25930.742213660018,24337.376519549114
113522.25388288594,169217.61444627657,44434.29140154618,32010.767928687572,114246.98257873091,91386.07272115764,9780.177097151163,37322.29092709536,34067.55420859509
102150.97448411092,135317.2872901949,26630.742753372608,41117.56203772867,140475.75840792008,103729.15550431132,13941.576927880547,52174.39866233038,45947.74366234558
90105.56528014145,103404.67742987438,14069.797721177623,50006.002403128805,162240.7938250103,109757.01773449976,19286.859992785274,70436.24725536,59432.533877906055
78377.1991204846,76485.85358701335,6744.357213558059,57592.17378624935,176602.72017395898,109763.75019799362,25787.64030519202,91527.55045261134,73700.94618339103
67719.74830078369,55685.308730763325,3076.0630606375444,63162.435072001455,182896.3285694788,105666.88382053454,33274.622897404435,114485.904075226,87970.2337091302
58492.28110381015,40509.9906718651,1399.4903207753978,66518.17790790537,182303.50832892684,99415.43509175112,41485.739456764626,138262.42678925826,101706.9286057997
50735.85896408976,29766.262350876324,657.1675729843502,67841.8564308474,176716.64185693662,92270.45746442306,50133.10258479232,161961.88287201876,114630.93516772734
44319.94860227732,22237.95101649696,324.7535110529898,67494.24454770618,167926.22683609705,84901.32968910705,58952.54392080248,184935.04631342052,126626.09463810234
